Order ID,Date,Customer,Region,Category,Product,Quantity,Unit Price,Total Sales,Profit
1001,2024-01-05,Acme Corp,North,Electronics,Laptop Pro,2,1200.00,2400.00,480.00
1002,2024-01-08,Beta Ltd,South,Furniture,Office Chair,5,350.00,1750.00,262.50
1003,2024-01-12,Gamma Inc,East,Electronics,Smartphone X,10,800.00,8000.00,1600.00
1004,2024-01-15,Delta Co,West,Clothing,Winter Jacket,8,120.00,960.00,192.00
1005,2024-01-18,Epsilon LLC,North,Electronics,Tablet Z,4,600.00,2400.00,480.00
1006,2024-01-22,Zeta Corp,South,Office Supplies,Desk Organizer,20,45.00,900.00,270.00
1007,2024-01-25,Eta Ltd,East,Furniture,Standing Desk,3,750.00,2250.00,337.50
1008,2024-01-28,Theta Inc,West,Electronics,Headphones,15,200.00,3000.00,750.00
1009,2024-02-02,Iota Co,North,Clothing,Business Suit,6,280.00,1680.00,336.00
1010,2024-02-05,Kappa LLC,South,Electronics,Laptop Pro,3,1200.00,3600.00,720.00
1011,2024-02-08,Lambda Corp,East,Office Supplies,Printer Ink,25,30.00,750.00,225.00
1012,2024-02-12,Mu Ltd,West,Furniture,Bookshelf,4,180.00,720.00,144.00
1013,2024-02-15,Nu Inc,North,Electronics,Smartphone X,7,800.00,5600.00,1120.00
1014,2024-02-18,Xi Co,South,Clothing,Summer Dress,12,85.00,1020.00,204.00
1015,2024-02-22,Omicron LLC,East,Electronics,Tablet Z,6,600.00,3600.00,720.00
1016,2024-02-25,Pi Corp,West,Office Supplies,Stapler,30,15.00,450.00,135.00
1017,2024-02-28,Rho Ltd,North,Furniture,Office Chair,8,350.00,2800.00,420.00
1018,2024-03-03,Sigma Inc,South,Electronics,Headphones,20,200.00,4000.00,1000.00
1019,2024-03-07,Tau Co,East,Clothing,Casual Shoes,14,95.00,1330.00,266.00
1020,2024-03-11,Upsilon LLC,West,Electronics,Laptop Pro,4,1200.00,4800.00,960.00
1021,2024-03-14,Phi Corp,North,Office Supplies,Paper Ream,50,8.00,400.00,120.00
1022,2024-03-18,Chi Ltd,South,Furniture,Standing Desk,5,750.00,3750.00,562.50
1023,2024-03-21,Psi Inc,East,Electronics,Smartphone X,9,800.00,7200.00,1440.00
1024,2024-03-25,Omega Co,West,Clothing,Winter Jacket,11,120.00,1320.00,264.00
1025,2024-03-28,Alpha LLC,North,Electronics,Tablet Z,8,600.00,4800.00,960.00
1026,2024-04-02,Acme Corp,South,Office Supplies,Desk Organizer,15,45.00,675.00,202.50
1027,2024-04-05,Beta Ltd,East,Furniture,Bookshelf,6,180.00,1080.00,216.00
1028,2024-04-09,Gamma Inc,West,Electronics,Headphones,18,200.00,3600.00,900.00
1029,2024-04-12,Delta Co,North,Clothing,Business Suit,9,280.00,2520.00,504.00
1030,2024-04-16,Epsilon LLC,South,Electronics,Laptop Pro,5,1200.00,6000.00,1200.00
1031,2024-04-19,Zeta Corp,East,Office Supplies,Printer Ink,35,30.00,1050.00,315.00
1032,2024-04-23,Eta Ltd,West,Furniture,Office Chair,7,350.00,2450.00,367.50
1033,2024-04-26,Theta Inc,North,Electronics,Smartphone X,11,800.00,8800.00,1760.00
1034,2024-04-30,Iota Co,South,Clothing,Summer Dress,20,85.00,1700.00,340.00
1035,2024-05-03,Kappa LLC,East,Electronics,Tablet Z,5,600.00,3000.00,600.00
1036,2024-05-07,Lambda Corp,West,Office Supplies,Stapler,40,15.00,600.00,180.00
1037,2024-05-10,Mu Ltd,North,Furniture,Standing Desk,4,750.00,3000.00,450.00
1038,2024-05-14,Nu Inc,South,Electronics,Headphones,22,200.00,4400.00,1100.00
1039,2024-05-17,Xi Co,East,Clothing,Casual Shoes,16,95.00,1520.00,304.00
